column_name,xpath
sector_narrative_xml:lang,/iati-activities/iati-activity/sector/narrative/@xml:lang
sector_narrative,/iati-activities/iati-activity/sector/narrative/text()
tag_code,/iati-activities/iati-activity/tag/@code
tag_vocabulary,/iati-activities/iati-activity/tag/@vocabulary
tag_vocabulary_uri,/iati-activities/iati-activity/tag/@vocabulary-uri
tag_narrative_xml:lang,/iati-activities/iati-activity/tag/narrative/@xml:lang
tag_narrative,/iati-activities/iati-activity/tag/narrative/text()
country_budget_items_vocabulary,/iati-activities/iati-activity/country-budget-items/@vocabulary
country_budget_items_budget_item_code,/iati-activities/iati-activity/country-budget-items/budget-item/@code
country_budget_items_budget_item_percentage,/iati-activities/iati-activity/country-budget-items/budget-item/@percentage
country_budget_items_budget_item_description_narrative_xml:lang,/iati-activities/iati-activity/country-budget-items/budget-item/description/narrative/@xml:lang
country_budget_items_budget_item_description_narrative,/iati-activities/iati-activity/country-budget-items/budget-item/description/narrative/text()
humanitarian_scope_type,/iati-activities/iati-activity/humanitarian-scope/@type
humanitarian_scope_vocabulary,/iati-activities/iati-activity/humanitarian-scope/@vocabulary
humanitarian_scope_vocabulary_uri,/iati-activities/iati-activity/humanitarian-scope/@vocabulary-uri
humanitarian_scope_code,/iati-activities/iati-activity/humanitarian-scope/@code
humanitarian_scope_narrative_xml:lang,/iati-activities/iati-activity/humanitarian-scope/narrative/@xml:lang
humanitarian_scope_narrative,/iati-activities/iati-activity/humanitarian-scope/narrative/text()
policy_marker_vocabulary,/iati-activities/iati-activity/policy-marker/@vocabulary
policy_marker_vocabulary_uri,/iati-activities/iati-activity/policy-marker/@vocabulary-uri
policy_marker_code,/iati-activities/iati-activity/policy-marker/@code
policy_marker_significance,/iati-activities/iati-activity/policy-marker/@significance
policy_marker_narrative_xml:lang,/iati-activities/iati-activity/policy-marker/narrative/@xml:lang
policy_marker_narrative,/iati-activities/iati-activity/policy-marker/narrative/text()
collaboration_type_code,/iati-activities/iati-activity/collaboration-type/@code
collaboration_type,/iati-activities/iati-activity/collaboration-type/text()
default_flow_type_code,/iati-activities/iati-activity/default-flow-type/@code
default_flow_type,/iati-activities/iati-activity/default-flow-type/text()
default_finance_type_code,/iati-activities/iati-activity/default-finance-type/@code
default_finance_type,/iati-activities/iati-activity/default-finance-type/text()
default_aid_type,/iati-activities/iati-activity/default-aid-type/text()
default_tied_status_code,/iati-activities/iati-activity/default-tied-status/@code
default_tied_status,/iati-activities/iati-activity/default-tied-status/text()
budget_type,/iati-activities/iati-activity/budget/@type
budget_status,/iati-activities/iati-activity/budget/@status
budget_period_start_iso_date,/iati-activities/iati-activity/budget/period-start/@iso-date
budget_period_start,/iati-activities/iati-activity/budget/period-start/text()
budget_period_end_iso_date,/iati-activities/iati-activity/budget/period-end/@iso-date
budget_period_end,/iati-activities/iati-activity/budget/period-end/text()
budget_value_currency,/iati-activities/iati-activity/budget/value/@currency
budget_value_value_date,/iati-activities/iati-activity/budget/value/@value-date
budget_value,/iati-activities/iati-activity/budget/value/text()
planned_disbursement_type,/iati-activities/iati-activity/planned-disbursement/@type
planned_disbursement_period_start_iso_date,/iati-activities/iati-activity/planned-disbursement/period-start/@iso-date
planned_disbursement_period_start,/iati-activities/iati-activity/planned-disbursement/period-start/text()
planned_disbursement_period_end_iso_date,/iati-activities/iati-activity/planned-disbursement/period-end/@iso-date
planned_disbursement_period_end,/iati-activities/iati-activity/planned-disbursement/period-end/text()
planned_disbursement_value_currency,/iati-activities/iati-activity/planned-disbursement/value/@currency
planned_disbursement_value_value_date,/iati-activities/iati-activity/planned-disbursement/value/@value-date
planned_disbursement_value,/iati-activities/iati-activity/planned-disbursement/value/text()
planned_disbursement_provider_org_ref,/iati-activities/iati-activity/planned-disbursement/provider-org/@ref
planned_disbursement_provider_org_provider_activity_id,/iati-activities/iati-activity/planned-disbursement/provider-org/@provider-activity-id
planned_disbursement_provider_org_type,/iati-activities/iati-activity/planned-disbursement/provider-org/@type
planned_disbursement_provider_org_narrative_xml:lang,/iati-activities/iati-activity/planned-disbursement/provider-org/narrative/@xml:lang
planned_disbursement_provider_org_narrative,/iati-activities/iati-activity/planned-disbursement/provider-org/narrative/text()
planned_disbursement_receiver_org_ref,/iati-activities/iati-activity/planned-disbursement/receiver-org/@ref
planned_disbursement_receiver_org_receiver_activity_id,/iati-activities/iati-activity/planned-disbursement/receiver-org/@receiver-activity-id
planned_disbursement_receiver_org_type,/iati-activities/iati-activity/planned-disbursement/receiver-org/@type
planned_disbursement_receiver_org_narrative_xml:lang,/iati-activities/iati-activity/planned-disbursement/receiver-org/narrative/@xml:lang
planned_disbursement_receiver_org_narrative,/iati-activities/iati-activity/planned-disbursement/receiver-org/narrative/text()
capital_spend_percentage,/iati-activities/iati-activity/capital-spend/@percentage
capital_spend,/iati-activities/iati-activity/capital-spend/text()
transaction_ref,/iati-activities/iati-activity/transaction/@ref
transaction_humanitarian,/iati-activities/iati-activity/transaction/@humanitarian
transaction_transaction_type_code,/iati-activities/iati-activity/transaction/transaction-type/@code
transaction_transaction_type,/iati-activities/iati-activity/transaction/transaction-type/text()
transaction_transaction_date_iso_date,/iati-activities/iati-activity/transaction/transaction-date/@iso-date
transaction_transaction_date,/iati-activities/iati-activity/transaction/transaction-date/text()
transaction_value_currency,/iati-activities/iati-activity/transaction/value/@currency
transaction_value_value_date,/iati-activities/iati-activity/transaction/value/@value-date
transaction_value,/iati-activities/iati-activity/transaction/value/text()
transaction_description_narrative_xml:lang,/iati-activities/iati-activity/transaction/description/narrative/@xml:lang
transaction_description_narrative,/iati-activities/iati-activity/transaction/description/narrative/text()
transaction_provider_org_ref,/iati-activities/iati-activity/transaction/provider-org/@ref
transaction_provider_org_provider_activity_id,/iati-activities/iati-activity/transaction/provider-org/@provider-activity-id
